years,dept_name,gender,Male,Female,Total_average_salary
1990,Marketing,M,58895.8,0,58895.85
1990,Marketing,F,0,57358.3,57358.31
1990,Finance,M,57643.6,0,57643.56
1990,Finance,F,0,56502.2,56502.18
1990,"Human Resources",M,40998.2,0,40998.23
1990,"Human Resources",F,0,40973.0,40972.99
1990,Production,M,45269.1,0,45269.05
1990,Production,F,0,45138.2,45138.16
1990,Development,M,45764.3,0,45764.32
1990,Development,F,0,45610.9,45610.85
1990,"Quality Management",M,42991.8,0,42991.80
1990,"Quality Management",F,0,43468.0,43468.01
1990,Sales,M,67413.8,0,67413.76
1990,Sales,F,0,67448.7,67448.70
1990,Research,M,46638.3,0,46638.34
1990,Research,F,0,47005.9,47005.88
1990,"Customer Service",M,44414.1,0,44414.06
1990,"Customer Service",F,0,44814.3,44814.29
1991,Marketing,M,59232.8,0,59232.75
1991,Marketing,F,0,57670.2,57670.20
1991,Finance,M,56426.5,0,56426.53
1991,Finance,F,0,58490.7,58490.73
1991,"Human Resources",M,42164.3,0,42164.28
1991,"Human Resources",F,0,42486.2,42486.17
1991,Production,M,46446.6,0,46446.64
1991,Production,F,0,46309.2,46309.19
1991,Development,M,46596.1,0,46596.06
1991,Development,F,0,46623.3,46623.26
1991,"Quality Management",M,45221.9,0,45221.94
1991,"Quality Management",F,0,44595.5,44595.49
1991,Sales,M,68846.8,0,68846.84
1991,Sales,F,0,67270.7,67270.69
1991,Research,M,46843.8,0,46843.79
1991,Research,F,0,46979.1,46979.08
1991,"Customer Service",M,45559.6,0,45559.61
1991,"Customer Service",F,0,45064.9,45064.92
1992,Marketing,M,59743.1,0,59743.08
1992,Marketing,F,0,59755.2,59755.19
1992,Finance,M,58294.6,0,58294.62
1992,Finance,F,0,58536.6,58536.58
1992,"Human Resources",M,43316.9,0,43316.85
1992,"Human Resources",F,0,43814.3,43814.29
1992,Production,M,47582.8,0,47582.76
1992,Production,F,0,47214.7,47214.69
1992,Development,M,47629.3,0,47629.32
1992,Development,F,0,47389.4,47389.42
1992,"Quality Management",M,45813.2,0,45813.23
1992,"Quality Management",F,0,45900.7,45900.70
